type,client,tx,amount
deposit,363,1,157.5525
deposit,945,2,202.1955
deposit,60,3,60.2209
deposit,830,4,133.7185
deposit,875,5,547.0222
deposit,512,6,854.2104
deposit,888,7,311.0179
deposit,757,8,959.0043
deposit,857,9,478.6679
deposit,396,10,331.1816
deposit,557,11,962.0413
deposit,151,12,433.9629
deposit,993,13,785.4750
deposit,316,14,591.6539
deposit,514,15,770.5010
deposit,937,16,87.9386
deposit,234,17,973.6653
deposit,953,18,113.1724
deposit,445,19,441.8925
deposit,873,20,549.9416
deposit,869,21,99.7611
deposit,364,22,337.0150
deposit,337,23,641.8981
deposit,207,24,881.5484
deposit,296,25,323.7193
deposit,757,26,544.0914
deposit,186,27,215.5232
deposit,601,28,949.2153
deposit,550,29,56.8526
deposit,428,30,593.4384
deposit,955,31,10.2538
deposit,440,32,670.5977
deposit,757,33,941.7310
deposit,72,34,359.2751
deposit,135,35,10.8126
deposit,163,36,69.0776
deposit,270,37,755.0717
deposit,195,38,160.6251
deposit,246,39,543.5954
deposit,425,40,323.4802
deposit,116,41,216.8357
deposit,48,42,61.1106
deposit,322,43,609.5575
deposit,880,44,825.3204
deposit,664,45,691.6414
deposit,418,46,652.8937
deposit,183,47,830.3128
deposit,286,48,53.0762
deposit,807,49,125.8308
deposit,578,50,807.1836
deposit,511,51,161.4356
deposit,505,52,157.2958
deposit,289,53,286.1593
deposit,490,54,42.0379
deposit,516,55,614.1185
deposit,928,56,851.1669
deposit,584,57,973.9392
deposit,944,58,244.4778
deposit,366,59,264.0020
deposit,232,60,269.6729
deposit,835,61,410.9817
deposit,120,62,575.5752
deposit,791,63,305.4571
deposit,574,64,90.7313
deposit,246,65,824.9115
deposit,178,66,19.8335
deposit,993,67,228.6867
deposit,158,68,615.6695
deposit,358,69,682.0162
deposit,255,70,511.9296
deposit,539,71,598.9423
deposit,772,72,151.1682
deposit,982,73,519.3661
deposit,186,74,197.4908
deposit,142,75,967.7492
deposit,449,76,218.5529
deposit,477,77,646.7179
deposit,167,78,183.6791
deposit,428,79,749.6879
deposit,996,80,667.7537
deposit,409,81,190.0766
deposit,325,82,112.8252
deposit,5,83,566.3567
deposit,649,84,729.4495
deposit,990,85,97.6144
deposit,219,86,867.0987
deposit,28,87,985.6521
deposit,786,88,47.4372
deposit,460,89,597.5981
deposit,549,90,394.4986
deposit,980,91,914.5961
deposit,268,92,961.4024
deposit,515,93,51.3257
deposit,145,94,76.1944
deposit,226,95,927.6009
deposit,2,96,174.3419
deposit,14,97,955.6236
deposit,651,98,997.5970
deposit,375,99,895.7791
deposit,956,100,453.1174
deposit,981,101,399.3714
deposit,970,102,231.0317
deposit,635,103,411.2640
deposit,421,104,388.7079
deposit,668,105,27.8494
deposit,844,106,636.4331
deposit,653,107,341.7367
deposit,821,108,857.4909
deposit,321,109,300.0832
deposit,612,110,49.0397
deposit,631,111,586.6993
deposit,728,112,550.1281
deposit,54,113,781.0956
deposit,631,114,798.8118
deposit,334,115,768.9916
deposit,114,116,262.5674
deposit,87,117,788.4082
deposit,987,118,38.5105
deposit,733,119,894.8515
deposit,724,120,992.7149
deposit,303,121,792.5457
deposit,967,122,441.6952
deposit,995,123,519.6372
deposit,354,124,37.1131
deposit,281,125,485.0098
deposit,49,126,828.6949
deposit,890,127,484.7281
deposit,903,128,192.5921
deposit,73,129,87.3299
deposit,704,130,123.2088
deposit,968,131,917.8770
deposit,878,132,331.7262
deposit,591,133,377.9763
deposit,952,134,149.9309
deposit,228,135,261.8852
deposit,984,136,206.2971
deposit,532,137,435.1329
deposit,197,138,802.9987
deposit,254,139,996.8034
deposit,749,140,747.0344
deposit,313,141,823.7063
deposit,599,142,394.7217
deposit,728,143,533.6700
deposit,201,144,267.0550
deposit,45,145,904.8762
deposit,10,146,725.4906
deposit,926,147,157.3489
deposit,312,148,166.6495
deposit,96,149,434.4122
deposit,443,150,116.7617
deposit,26,151,94.4684
deposit,517,152,337.1307
deposit,6,153,89.3084
deposit,52,154,807.3996
deposit,3,155,434.6100
deposit,120,156,209.2080
deposit,226,157,227.5100
deposit,839,158,72.5218
deposit,504,159,402.5239
deposit,333,160,384.7415
deposit,640,161,72.2513
deposit,214,162,242.7771
deposit,130,163,484.2084
deposit,918,164,720.5254
deposit,414,165,826.2810
deposit,982,166,198.0034
deposit,846,167,549.2968
deposit,817,168,562.2212
deposit,669,169,169.9869
deposit,76,170,732.8459
